,seed,epoch,perf,loss,elbo,score matching,elbo_lr,sm_lr
0,1,57,0.7994151371836382,-2882990.7090234817,-2882988.256881496,-2.4521419861253793,0.005,0.005
0,1,58,0.798825631398738,-2946018.2925481014,-2946015.9194309264,-2.3731171756482543,0.005,0.005
0,1,59,0.7996433077985936,-2991636.8231570837,-2991634.1048508356,-2.7183062484351472,0.005,0.005
0,1,60,0.7991080346117424,-3049573.6049597966,-3049571.7009619973,-1.9039977998298179,0.005,0.005
0,1,61,0.7980758446882601,-3114262.346690342,-3114259.7535909717,-2.593099369053855,0.005,0.005
0,1,62,0.7990528883097933,-3173439.507151045,-3173439.1191255893,-0.3880254551674479,0.005,0.005
0,1,63,0.7982358162982567,-3216108.123605171,-3216105.9534095987,-2.170195572113451,0.005,0.005
0,1,64,0.7989846070461077,-3271076.671050361,-3271074.620354808,-2.050695551047834,0.005,0.005
0,1,65,0.8000827448883847,-3334440.554312144,-3334438.1017163135,-2.452595831193129,0.005,0.005
0,1,66,0.7988471895545611,-3387265.365031322,-3387264.083095171,-1.2819361509908398,0.005,0.005
0,1,67,0.7976008173485875,-3443682.7662015646,-3443680.718272561,-2.047929004360815,0.005,0.005
0,1,68,0.7986776313415184,-3495426.532302602,-3495424.15687893,-2.375423673213484,0.005,0.005
0,1,69,0.7994564704449085,-3553955.756331061,-3553953.424697798,-2.3316332637666797,0.005,0.005
0,1,70,0.80051740681244,-3618535.977690155,-3618533.510036104,-2.4676540514835965,0.005,0.005
0,1,71,0.7990252682465293,-3674698.253586478,-3674696.1246597986,-2.1289266792960815,0.005,0.005
